,Unnamed: 0,ID,Name,Age,Overall,Potential,Club,Value,Wage,Special,Preferred Foot,Weak Foot,Skill Moves,Work Rate,Body Type,Position,Jersey Number,Joined,Height,Weight,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,Release Clause,Potential Growth
1143,1143,238794,Vinícius Júnior,17,77,92,Real Madrid,17500000.0,€66K,1849,Right,4.0,5.0,High/ Medium,Lean,LW,28.0,"Jul 12, 2018",5'9,161lbs,72+2,72+2,72+2,76+2,75+2,75+2,75+2,76+2,74+2,74+2,74+2,75+2,65+2,65+2,65+2,75+2,56+2,50+2,50+2,50+2,56+2,52+2,42+2,42+2,42+2,52+2,65.0,70.0,50.0,70.0,71.0,81.0,77.0,62.0,48.0,80.0,92.0,94.0,90.0,70.0,82.0,74.0,74.0,79.0,59.0,68.0,48.0,26.0,74.0,69.0,65.0,75.0,32.0,25.0,18.0,€46.8M,15
1296,1296,234045,H. Onyekuru,21,76,86,Galatasaray SK,12500000.0,€56K,1855,Right,4.0,4.0,High/ High,Lean,ST,21.0,,5'9,130lbs,72+2,72+2,72+2,76+2,74+2,74+2,74+2,76+2,74+2,74+2,74+2,74+2,65+2,65+2,65+2,74+2,56+2,51+2,51+2,51+2,56+2,53+2,44+2,44+2,44+2,53+2,69.0,78.0,57.0,67.0,69.0,83.0,58.0,45.0,63.0,76.0,90.0,90.0,91.0,69.0,81.0,71.0,91.0,70.0,44.0,73.0,53.0,18.0,70.0,67.0,65.0,70.0,37.0,38.0,25.0,,10
1422,1422,222357,B. Embolo,21,76,86,FC Schalke 04,12500000.0,€24K,1849,Right,4.0,3.0,Medium/ Medium,Stocky,ST,36.0,"Jul 1, 2016",6'1,190lbs,74+2,74+2,74+2,72+2,74+2,74+2,74+2,72+2,73+2,73+2,73+2,72+2,68+2,68+2,68+2,72+2,55+2,55+2,55+2,55+2,55+2,52+2,49+2,49+2,49+2,52+2,59.0,74.0,69.0,72.0,64.0,78.0,65.0,51.0,70.0,74.0,76.0,79.0,69.0,73.0,73.0,76.0,73.0,71.0,83.0,62.0,63.0,41.0,78.0,69.0,66.0,73.0,26.0,28.0,22.0,€23.8M,10
1740,1740,233299,Felipe Vizeu,21,75,87,Udinese,12000000.0,€21K,1746,Left,3.0,3.0,High/ Medium,Normal,ST,9.0,"Jul 17, 2018",6'0,181lbs,73+2,73+2,73+2,67+2,70+2,70+2,70+2,67+2,67+2,67+2,67+2,66+2,60+2,60+2,60+2,66+2,50+2,48+2,48+2,48+2,50+2,49+2,46+2,46+2,46+2,49+2,45.0,74.0,78.0,60.0,75.0,67.0,57.0,45.0,52.0,73.0,70.0,79.0,67.0,72.0,65.0,78.0,66.0,66.0,79.0,63.0,55.0,25.0,77.0,60.0,68.0,73.0,20.0,24.0,38.0,€24M,12
1820,1820,236920,J. Kluivert,19,75,86,Roma,11000000.0,€28K,1877,Right,4.0,4.0,High/ Medium,Normal,LW,34.0,"Jul 1, 2018",5'7,146lbs,70+2,70+2,70+2,75+2,74+2,74+2,74+2,75+2,73+2,73+2,73+2,73+2,65+2,65+2,65+2,73+2,57+2,53+2,53+2,53+2,57+2,54+2,47+2,47+2,47+2,54+2,69.0,70.0,52.0,68.0,67.0,82.0,72.0,58.0,54.0,78.0,91.0,88.0,85.0,67.0,83.0,77.0,66.0,69.0,61.0,76.0,66.0,25.0,65.0,72.0,66.0,74.0,47.0,32.0,27.0,€20.9M,11
1968,1968,213956,Adama,22,75,85,Wolverhampton Wanderers,10500000.0,€54K,1772,Right,2.0,3.0,High/ Low,Stocky,RW,37.0,"Aug 8, 2018",5'10,168lbs,68+2,68+2,68+2,74+2,72+2,72+2,72+2,74+2,71+2,71+2,71+2,74+2,63+2,63+2,63+2,74+2,56+2,50+2,50+2,50+2,56+2,51+2,42+2,42+2,42+2,51+2,72.0,61.0,40.0,66.0,52.0,89.0,65.0,42.0,56.0,83.0,97.0,96.0,81.0,63.0,83.0,74.0,73.0,75.0,83.0,55.0,54.0,29.0,62.0,57.0,47.0,70.0,16.0,26.0,23.0,€22.1M,10
1975,1975,204233,C. Musonda,21,75,85,Vitesse,11000000.0,€64K,1694,Right,5.0,4.0,Medium/ Medium,Lean,RW,20.0,,5'8,146lbs,67+2,67+2,67+2,75+2,73+2,73+2,73+2,75+2,73+2,73+2,73+2,74+2,66+2,66+2,66+2,74+2,53+2,48+2,48+2,48+2,53+2,49+2,35+2,35+2,35+2,49+2,72.0,66.0,39.0,73.0,52.0,82.0,69.0,59.0,70.0,79.0,89.0,80.0,92.0,72.0,84.0,70.0,38.0,60.0,41.0,62.0,32.0,21.0,68.0,67.0,55.0,66.0,24.0,20.0,22.0,,10
2382,2382,237207,S. Kalu,20,74,85,FC Girondins de Bordeaux,9500000.0,€25K,1789,Right,4.0,3.0,High/ Medium,Normal,RW,10.0,"Aug 6, 2018",5'9,163lbs,67+2,67+2,67+2,73+2,71+2,71+2,71+2,73+2,70+2,70+2,70+2,72+2,63+2,63+2,63+2,72+2,55+2,49+2,49+2,49+2,55+2,52+2,42+2,42+2,42+2,52+2,75.0,66.0,62.0,68.0,48.0,76.0,71.0,70.0,58.0,73.0,92.0,83.0,81.0,67.0,79.0,65.0,87.0,70.0,34.0,58.0,57.0,26.0,68.0,70.0,52.0,74.0,26.0,31.0,24.0,€20M,11
2468,2468,231352,T. Abraham,20,74,85,Aston Villa,10000000.0,€59K,1682,Right,3.0,3.0,Medium/ Medium,Lean,ST,18.0,,6'3,176lbs,73+2,73+2,73+2,68+2,70+2,70+2,70+2,68+2,67+2,67+2,67+2,66+2,59+2,59+2,59+2,66+2,49+2,46+2,46+2,46+2,49+2,47+2,44+2,44+2,44+2,47+2,47.0,76.0,75.0,64.0,54.0,68.0,50.0,42.0,41.0,73.0,71.0,81.0,65.0,73.0,56.0,75.0,69.0,65.0,79.0,64.0,41.0,22.0,74.0,60.0,72.0,70.0,35.0,22.0,15.0,,11
2521,2521,228819,M. Vargas,21,74,85,Vélez Sarsfield,9500000.0,€12K,1836,Right,3.0,4.0,High/ Medium,Normal,LW,26.0,"May 1, 2015",5'6,146lbs,67+2,67+2,67+2,74+2,72+2,72+2,72+2,74+2,73+2,73+2,73+2,74+2,68+2,68+2,68+2,74+2,60+2,55+2,55+2,55+2,60+2,56+2,45+2,45+2,45+2,56+2,72.0,70.0,39.0,71.0,59.0,78.0,56.0,53.0,69.0,78.0,90.0,80.0,85.0,63.0,87.0,70.0,67.0,86.0,48.0,64.0,42.0,28.0,67.0,73.0,69.0,74.0,43.0,40.0,35.0,€16.2M,11
