,Unnamed: 0,ID,Name,Age,Overall,Potential,Club,Value,Wage,Special,Preferred Foot,Weak Foot,Skill Moves,Work Rate,Body Type,Position,Jersey Number,Joined,Height,Weight,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,Release Clause,Potential Growth
735,735,231281,T. Alexander-Arnold,19,78,88,Liverpool,14000000.0,€36K,2025,Right,3.0,3.0,High/ Medium,Lean,RB,14.0,"Oct 7, 2015",5'11,152lbs,66+2,66+2,66+2,71+2,69+2,69+2,69+2,71+2,71+2,71+2,71+2,73+2,72+2,72+2,72+2,73+2,76+2,74+2,74+2,74+2,76+2,75+2,71+2,71+2,71+2,75+2,83.0,56.0,59.0,76.0,41.0,72.0,74.0,74.0,75.0,72.0,82.0,79.0,74.0,75.0,74.0,70.0,66.0,79.0,62.0,63.0,73.0,76.0,62.0,72.0,55.0,74.0,75.0,76.0,74.0,€29.4M,10
744,744,228881,D. Calabria,21,78,88,Milan,14500000.0,€52K,1946,Right,3.0,3.0,Medium/ Medium,Normal,RB,2.0,"Jul 1, 2015",5'9,154lbs,58+2,58+2,58+2,65+2,61+2,61+2,61+2,65+2,63+2,63+2,63+2,68+2,67+2,67+2,67+2,68+2,77+2,74+2,74+2,74+2,77+2,76+2,74+2,74+2,74+2,76+2,79.0,30.0,64.0,75.0,58.0,73.0,76.0,48.0,68.0,74.0,81.0,77.0,83.0,74.0,78.0,62.0,69.0,81.0,64.0,48.0,78.0,77.0,42.0,50.0,48.0,74.0,78.0,78.0,77.0,€27.6M,10
755,755,225100,J. Gomez,21,78,88,Liverpool,14500000.0,€61K,1742,Right,3.0,3.0,Medium/ Medium,Normal,CB,16.0,"Jun 20, 2015",6'2,170lbs,56+2,56+2,56+2,62+2,59+2,59+2,59+2,62+2,60+2,60+2,60+2,65+2,63+2,63+2,63+2,65+2,75+2,72+2,72+2,72+2,75+2,76+2,76+2,76+2,76+2,76+2,69.0,26.0,68.0,72.0,24.0,67.0,41.0,29.0,57.0,68.0,80.0,83.0,64.0,77.0,66.0,41.0,66.0,74.0,80.0,26.0,70.0,81.0,51.0,52.0,26.0,69.0,78.0,80.0,77.0,€30.5M,10
1110,1110,229558,D. Upamecano,19,77,88,RB Leipzig,13000000.0,€18K,1708,Right,3.0,2.0,Medium/ Medium,Stocky,LCB,5.0,"Jan 13, 2017",6'1,183lbs,55+2,55+2,55+2,57+2,56+2,56+2,56+2,57+2,58+2,58+2,58+2,60+2,62+2,62+2,62+2,60+2,68+2,71+2,71+2,71+2,68+2,70+2,76+2,76+2,76+2,70+2,47.0,39.0,71.0,72.0,21.0,59.0,32.0,28.0,66.0,64.0,73.0,85.0,61.0,67.0,62.0,44.0,86.0,61.0,88.0,24.0,81.0,75.0,35.0,56.0,39.0,68.0,68.0,84.0,75.0,€24.7M,11
1479,1479,226491,K. Tierney,21,76,86,Celtic,11000000.0,€32K,1992,Left,3.0,3.0,High/ High,Normal,LB,22.0,"Jul 1, 2013",5'10,172lbs,67+2,67+2,67+2,71+2,70+2,70+2,70+2,71+2,70+2,70+2,70+2,73+2,70+2,70+2,70+2,73+2,76+2,72+2,72+2,72+2,76+2,75+2,72+2,72+2,72+2,75+2,75.0,49.0,59.0,72.0,27.0,75.0,72.0,52.0,64.0,73.0,87.0,91.0,73.0,72.0,74.0,79.0,65.0,88.0,75.0,66.0,82.0,71.0,64.0,70.0,36.0,74.0,72.0,73.0,74.0,€22M,10
1645,1645,237604,A. Franco,21,75,85,Independiente,9500000.0,€13K,1592,Right,2.0,2.0,Medium/ High,Normal,CB,2.0,"Jan 1, 2017",6'0,170lbs,50+2,50+2,50+2,47+2,49+2,49+2,49+2,47+2,48+2,48+2,48+2,50+2,53+2,53+2,53+2,50+2,65+2,67+2,67+2,67+2,65+2,68+2,74+2,74+2,74+2,68+2,35.0,27.0,78.0,62.0,35.0,36.0,31.0,35.0,31.0,68.0,67.0,60.0,41.0,72.0,74.0,45.0,75.0,79.0,77.0,28.0,71.0,75.0,35.0,40.0,42.0,61.0,78.0,78.0,71.0,€15.2M,10
1735,1735,240976,M. Saracchi,20,75,85,RB Leipzig,9500000.0,€27K,2015,Left,3.0,3.0,High/ Medium,Normal,LB,3.0,"Jul 1, 2018",5'8,152lbs,70+2,70+2,70+2,73+2,72+2,72+2,72+2,73+2,72+2,72+2,72+2,74+2,71+2,71+2,71+2,74+2,73+2,71+2,71+2,71+2,73+2,73+2,71+2,71+2,71+2,73+2,76.0,64.0,68.0,74.0,48.0,73.0,50.0,61.0,70.0,72.0,87.0,83.0,77.0,71.0,78.0,71.0,76.0,79.0,68.0,68.0,77.0,66.0,71.0,71.0,53.0,72.0,75.0,70.0,72.0,€18.1M,10
1857,1857,238476,D. Zagadou,19,75,85,Borussia Dortmund,9000000.0,€16K,1559,Left,3.0,2.0,Medium/ Medium,Stocky,CB,2.0,"Jul 1, 2017",6'5,198lbs,51+2,51+2,51+2,48+2,49+2,49+2,49+2,48+2,50+2,50+2,50+2,52+2,55+2,55+2,55+2,52+2,64+2,67+2,67+2,67+2,64+2,67+2,74+2,74+2,74+2,67+2,46.0,26.0,77.0,71.0,25.0,49.0,37.0,25.0,55.0,54.0,52.0,69.0,47.0,70.0,34.0,56.0,64.0,61.0,87.0,24.0,75.0,70.0,31.0,42.0,30.0,68.0,71.0,81.0,75.0,€17.1M,10
2028,2028,234986,P. Retsos,19,75,85,Bayer 04 Leverkusen,9000000.0,€19K,1669,Right,3.0,2.0,Medium/ High,Lean,CB,3.0,"Aug 31, 2017",6'1,179lbs,53+2,53+2,53+2,54+2,53+2,53+2,53+2,54+2,55+2,55+2,55+2,58+2,61+2,61+2,61+2,58+2,70+2,71+2,71+2,71+2,70+2,72+2,73+2,73+2,73+2,72+2,57.0,26.0,70.0,77.0,26.0,46.0,31.0,29.0,62.0,65.0,69.0,74.0,67.0,72.0,54.0,60.0,74.0,76.0,74.0,33.0,69.0,75.0,37.0,42.0,33.0,73.0,72.0,79.0,73.0,€17.1M,10
2233,2233,234575,Diogo Leite,19,74,87,FC Porto,9500000.0,€5K,1573,Left,3.0,2.0,High/ Medium,Lean,CB,4.0,"Jul 1, 2017",6'2,161lbs,51+2,51+2,51+2,47+2,50+2,50+2,50+2,47+2,50+2,50+2,50+2,50+2,55+2,55+2,55+2,50+2,63+2,68+2,68+2,68+2,63+2,66+2,73+2,73+2,73+2,66+2,24.0,30.0,75.0,65.0,32.0,48.0,35.0,20.0,54.0,63.0,61.0,60.0,52.0,70.0,55.0,59.0,66.0,73.0,75.0,38.0,80.0,72.0,28.0,34.0,38.0,65.0,74.0,77.0,75.0,€24.9M,13
